name,min_value,max_value,continuous_discrete,family
open,0,flaot('inf'),continuous,open
close,0,flaot('inf'),continuous,close
cc,0,1,discrete,cc
dew,0,1,discrete,dew
trend_to_god_day,0,1,discrete,trend_to_god
trend_to_god_week,0,1,discrete,trend_to_god
trend_to_god_month,0,1,discrete,trend_to_god
rsi_daily,0,100,continuous,rsi
rsi_daily_sma,0,100,continuous,rsi
rsi_weekly,0,100,continuous,rsi
rsi_weekly_sma,0,100,continuous,rsi
rsi_monthly,0,100,continuous,rsi
rsi_monthly_sma,0,100,continuous,rsi
bb_middle_band,0,flaot('inf'),continuous,bb
bb_upper_band,0,flaot('inf'),continuous,bb
bb_lower_band,0,flaot('inf'),continuous,bb
monthly_bb_upper_band,0,flaot('inf'),continuous,bb
monthly_bb_lower_band,0,flaot('inf'),continuous,bb
daily_below_lower_band,0,flaot('inf'),continuous,bb
daily_above_upper_band,0,flaot('inf'),continuous,bb
weekly_bb_upper_band,0,flaot('inf'),continuous,bb
weekly_bb_lower_band,0,flaot('inf'),continuous,bb
weekly_below_lower_band,0,flaot('inf'),continuous,bb
weekly_above_upper_band,0,flaot('inf'),continuous,bb
monthly_below_lower_band,0,flaot('inf'),continuous,bb
monthly_above_upper_band,0,flaot('inf'),continuous,bb
daily_macd_diff,0,flaot('inf'),continuous,macd
weekly_macd_diff,0,flaot('inf'),continuous,macd
monthly_macd_diff,0,flaot('inf'),continuous,macd
vix,0,flaot('inf'),continuous,vix
vix_change_5,0,flaot('inf'),continuous,vix
vix_change_3,0,flaot('inf'),continuous,vix
vix_sma5,0,flaot('inf'),continuous,vix
vix_sma10,0,flaot('inf'),continuous,vix
sma5,0,flaot('inf'),continuous,sma
sma10,0,flaot('inf'),continuous,sma
sma20,0,flaot('inf'),continuous,sma
sma50,0,flaot('inf'),continuous,sma
last_month_change,flaot('-inf'),flaot('inf'),continuous,last_month_change
last_year_change,flaot('-inf'),flaot('inf'),continuous,last_year_change
52w_high_vix,0,flaot('inf'),continuous,vix
26w_high_vix,0,flaot('inf'),continuous,vix
13w_high_vix,0,flaot('inf'),continuous,vix
consecutive_green,0,flaot('inf'),discrete,consecutive_green
close_yesterday,flaot('-inf'),flaot('inf'),continuous,close_yesterday
change,flaot('-inf'),flaot('inf'),continuous,change
ccrash,0,1,discrete,ccrash